name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;572;0;572;3075;1321;3075;1298;0
header;234;140;234;177;1862;177;1862;140
A;1033;202;1033;232;1056;232;1056;202
A;688;478;688;478;688;478;688;478
A;576;500;576;501;576;501;576;500
B;571;665;571;684;586;684;586;665
C;1031;866;1031;896;1052;896;1052;866
C;714;938;714;957;730;957;730;938
A;1230;1072;1230;1078;1236;1078;1236;1072
A;893;1135;893;1148;900;1148;900;1135
A;1080;1496;1080;1497;1081;1497;1081;1496
B;1031;1530;1031;1558;1053;1558;1053;1530
B;722;1812;722;1825;733;1825;733;1812
A;1144;1887;1144;1912;1159;1912;1159;1887
D;1030;2198;1030;2232;1055;2232;1055;2198
A;998;2459;998;2461;998;2461;998;2459
A;1159;2590;1159;2590;1159;2590;1159;2590
B;615;2598;615;2623;633;2623;633;2598
