name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;537;0;468;3095;1115;3095;1115;0
header;235;129;235;168;1871;168;1871;129
A;775;170;775;170;775;170;775;170
A;1038;195;1038;221;1058;221;1058;195
A;778;793;778;811;791;811;791;793
B;1039;868;1039;898;1062;898;1062;868
B;976;1299;976;1315;985;1315;985;1299
C;1043;1575;1043;1604;1064;1604;1064;1575
A;1044;1624;1044;1624;1044;1624;1044;1624
B;499;1893;499;1911;513;1911;513;1893
A;1082;1896;1082;1913;1091;1913;1091;1896
B;936;2078;936;2094;946;2094;946;2078
D;1044;2245;1044;2271;1066;2271;1066;2245
A;831;2449;831;2451;833;2451;833;2449
D;543;2828;543;2841;550;2841;550;2828
A;665;2990;665;2990;667;2990;667;2990
